code,name,level,ward,status,menu_posts_total,menu_posts_this_year,weeks_with_posts,last_menu_date,last_menu_url,error
thcslehongphong-condao,Trường THCS Lê Hồng Phong,thcs,dackhucondao,none,0,0,0,,,
mn8q5,Mầm non 8,mn,phuongandong,regular,15,3,2,2026-09-20,http://mn8q5.hcm.edu.vn/thuc-don-cho-be/truong-mam-non-8-gui-den-quy-phu-huynh-thuc-don-tre-tu-ngay-219-den-2592026/ct/71399/888325,
mn9q5,Mầm non 9,mn,phuongandong,regular,12,12,3,2026-09-24,https://mn9q5.hcm.edu.vn/suc-khoe-dinh-duong/thuc-don-ngay-24-thang-9-nam-2026/ct/28777/889250,
mnhoangyenq5,Mầm non Hoàng Yến,mn,phuongandong,regular,62,14,4,2026-09-24,http://mnhoangyenq5.hcm.edu.vn/ba-cong-khai/thuc-don-ngay-24-thang-9-nam-2026/ct/77953/889241,
mnsoncaq5,Mầm non Sơn Ca,mn,phuongandong,regular,45,5,3,2026-09-18,https://mnsoncaq5.hcm.edu.vn/nam-hoc-2026-2027/thuc-don-tuan-3-thang-9-219-2592026/ct/111259/888078,
thchuongduongq5,Tiểu Học Chương Dương,th,phuongandong,regular,35,4,3,2026-09-20,https://thchuongduongq5.hcm.edu.vn/thuc-don-ban-tru-nam-hoc-2026-2027/thuc-don-tuan-3/ct/147688/1410955,
thhuynhkienhoa,Tiểu Học Huỳnh Kiến Hoa,th,phuongandong,none,0,0,0,,,
thhuynhmandat,Tiểu Học Huỳnh Mẫn Đạt,th,phuongandong,regular,14,4,2,2026-09-19,http://thhuynhmandat.hcm.edu.vn/nam-hoc-2026-2027/thuc-don-ban-tru-tuan-4/ct/147902/1410876,
thphamhongthai,Tiểu Học Phạm Hồng Thái,th,phuongandong,regular,35,4,3,2026-09-19,https://thphamhongthai.hcm.edu.vn/thuc-don-nh-2026-2027/thuc-don-tuan/ct/147814/1410820,
thtranquoctoanq5,Tiểu Học Trần Quốc Toản,th,phuongandong,stale,18,0,0,2026-05-22,https://thtranquoctoanq5.hcm.edu.vn/ba-cong-khai/thuc-don-ban-tru-tuan-36-nam-hoc-2025-2026/ct/124413/1393793,
thcskimdong,THCS Kim Đồng,thcs,phuongandong,none,0,0,0,,,
mnhoangyengovap,Mầm non Hoàng Yến,mn,phuonganhoidong,regular,15,2,2,2026-09-20,https://mnhoangyengovap.hcm.edu.vn/thuc-don/thuc-don-tu-2192026-den-2592026/ct/107183/888249,
mnhoasengovap,Mầm non Hoa Sen,mn,phuonganhoidong,regular,16,4,2,2026-09-19,https://mnhoasengovap.hcm.edu.vn/thuc-don/du-kien-thuc-don-dinh-duong-tuan-le-tu-ngay-21092026-den-ngay-25092026/ct/84491/888209,
mnmaivanggovap,MN Mai Vàng,mn,phuonganhoidong,regular,17,14,3,2026-09-24,https://mnmaivanggovap.hcm.edu.vn/mon-ngon-moi-ngay/khau-phan-an-cua-tre-ngay-2492026/ct/111199/889201,
mnngoclangovap,Mầm non Ngọc Lan,mn,phuonganhoidong,stale,16,0,0,2026-08-01,https://mnngoclangovap.hcm.edu.vn/cham-soc-nuoi-duong/du-kien-thuc-don-tuan-cua-be-tuan-tu-03082026-den-07082026/ct/41556/882071,
mnsenhonggovap,Mầm non Sen Hồng,mn,phuonganhoidong,stale,15,0,0,2026-07-31,http://mnsenhonggovap.hcm.edu.vn/thuc-don/thuc-don-cho-tre-tu-ngay-0382026-den-ngay-0782026/ct/89769/882236,
thleductho,TH Lê Đức Thọ,th,phuonganhoidong,regular,15,15,3,2026-09-24,http://thleductho.hcm.edu.vn/thuc-don-ban-tru/thuc-don-tuan-4-truong-tieu-hoc-le-duc-tho-ap-dung-tu-ngay-28-thang-9-den-ngay/ct/137616/1412304,
thlehoan,Tiểu Học Lê Hoàn,th,phuonganhoidong,regular,15,12,3,2026-09-24,http://thlehoan.hcm.edu.vn/thuc-don-ban-tru/bua-an-ban-tru-ngay-2492026/ct/129055/1412331,
thlethihonggamgovap,Tiểu Học Lê Thị Hồng Gấm,th,phuonganhoidong,regular,19,14,2,2026-09-24,https://thlethihonggamgovap.hcm.edu.vn/thuc-don/thuc-don-tuan-3/ct/130109/1412284,
thlevanthogv,TH Lê Văn Thọ,th,phuonganhoidong,regular,85,5,2,2026-09-15,https://thlevanthogv.hcm.edu.vn/thuc-don/mon-an-ban-tru-15-9-2026/ct/128934/1410132,
thphanchutrinhgovap,Trường Tiểu học Phan Chu Trinh,th,phuonganhoidong,regular,35,15,3,2026-09-24,https://thphanchutrinhgovap.hcm.edu.vn/cong-khai/hinh-anh-suat-an-cua-hoc-sinh-ban-tru-ngay-2492026/ct/113030/1412438,
thvothisaugovap,Tiểu Học Võ Thị Sáu,th,phuonganhoidong,none,0,0,0,,,
thcslytutrong,THCS Lý Tự Trọng,thcs,phuonganhoidong,regular,14,7,4,2026-09-24,https://thcslytutrong.hcm.edu.vn/thuc-don-ban-tru-a-menu-for-day-boarding-students/suat-an-ban-tru-trua-thu-nam-ngay-2492026/ct/104626/762345,
thcsnguyentraigovap,THCS Nguyễn Trãi,thcs,phuonganhoidong,regular,19,3,2,2026-09-19,https://thcsnguyentraigovap.hcm.edu.vn/nam-hoc-2026-2027/thuc-don-tuan-3/ct/111236/760205,
thcsphantayho,THCS Phan Tây Hồ,thcs,phuonganhoidong,regular,17,3,3,2026-09-19,https://thcsphantayho.hcm.edu.vn/hoat-dong-ban-tru/thuc-don-bua-an-cua-hoc-sinh-ban-tru-truong-thcs-phan-tay-ho-tuan-le-tu-ngay-21/ct/99521/760945,
mnhuongduonggovap,Mầm non Hướng Dương,mn,phuonganhoitay,active,16,1,1,2026-09-06,https://mnhuongduonggovap.hcm.edu.vn/hoat-dong-cham-soc-nuoi-duong/thuc-don-tuan-2-thang-9-nam-2026/ct/90253/887488,
mnsocnaugovap,Mầm non Sóc Nâu,mn,phuonganhoitay,regular,16,3,3,2026-09-18,https://mnsocnaugovap.hcm.edu.vn/thuc-don-tuan/thuc-don-tuan-tu-ngay-21-9-den-ngay-25-9-2026/ct/87266/888113,
thdangthuytram-anhoitay,Tiểu học Đặng Thùy Trâm,th,phuonganhoitay,regular,29,3,3,2026-09-19,https://thdangthuytram-anhoitay.hcm.edu.vn/ban-tru/thuc-don-tuan-3-tu-21092026-26092026/ct/141616/1410795,
thlamsongovap,Tiểu Học Lam Sơn,th,phuonganhoitay,regular,91,17,3,2026-09-24,https://thlamsongovap.hcm.edu.vn/cong-khai-thong-tin-bua-an-hang-ngay/hinh-anh-bua-an-trua-cua-hoc-sinh-ngay-2492026/ct/147866/1412252,
thlequydongovap,Tiểu Học Lê Quý Đôn,th,phuonganhoitay,regular,15,14,3,2026-09-23,http://thlequydongovap.hcm.edu.vn/cong-khai-thong-tin-bua-an-hang-ngay/hinh-anh-phan-an-trua-va-an-xe-cua-hoc-sinh-ngay-23092026/ct/147869/1412055,
thcshuynhvannghegovap,THCS Huỳnh Văn Nghệ,thcs,phuonganhoitay,regular,29,16,3,2026-09-23,https://thcshuynhvannghegovap.hcm.edu.vn/hinh-anh-khay-an-thuc-te/bua-an-thuc-te-ngay-23092026/ct/111240/760965,
thcstanson,THCS Tân Sơn,thcs,phuonganhoitay,regular,13,6,2,2026-09-24,https://thcstanson.hcm.edu.vn/ban-tru/hinh-anh-bua-an-ban-tru-ngay-24092026/ct/92463/762400,
mn19thang5q2,Mầm non 19-5 Quận 2,mn,phuongankhanh,stale,5,0,0,2025-01-10,https://mn19thang5q2.hcm.edu.vn/dinh-duong-suc-khoe/thuc-don-tuan-3-thang-01-nam-2025/ct/97399/720676,
mnanbinh,Mầm non An Bình - TP. Thủ Đức,mn,phuongankhanh,stale,17,0,0,2026-07-27,https://mnanbinh.hcm.edu.vn/thuc-don/thuc-don-tuan-7-cua-tre/ct/99866/881303,
mnankhanhtd,Trường Mầm non An Khánh,mn,phuongankhanh,none,0,0,0,,,
mnbinhanq2,Mầm non Bình An,mn,phuongankhanh,stale,1,0,0,2024-12-28,http://mnbinhanq2.hcm.edu.vn/bai-giang-giao-an/chuyen-de-to-chuc-bua-an-cho-tre-mau-giao-tai-lop-mam-1-va-la-3/ct/29037/716906,
mnthaodien,Mầm non Thảo Điền,mn,phuongankhanh,stale,14,0,0,2018-12-24,https://mnthaodien.hcm.edu.vn/thuc-don-cua-be/thuc-don-tuan-4-thang-122018/ct/75720/361516,
thanbinh,Trường Tiểu học An Bình,th,phuongankhanh,stale,75,0,0,2026-04-20,https://thanbinh.hcm.edu.vn/thuc-don-ban-tru-nh-2025-2026/thuc-don-ban-tru-thang-4-tuan-34/ct/141913/1384082,
thankhanh,Trường Tiểu học An Khánh,th,phuongankhanh,regular,3,3,3,2026-09-18,https://thankhanh.hcm.edu.vn/nam-hoc-2026-2027/thuc-don-thang-9-tuan-4/ct/147807/1410620,
thhuynhvanngoi,Tiểu Học Huỳnh Văn Ngỡi,th,phuongankhanh,regular,10,4,3,2026-09-19,https://thhuynhvanngoi.hcm.edu.vn/ban-tru/thuc-don-tuan-4-tu-ngay-219-den-2592026/ct/139605/1410860,
thnguyenthitu,TIỂU HỌC NGUYỄN THỊ TƯ,th,phuongankhanh,none,0,0,0,,,
muaxuanhungdongaurora,Trường Mùa Xuân Aurora,thcs,phuongankhanh,none,0,0,0,,,
thcsanphuq2,THCS An Phú - Quận 2,thcs,phuongankhanh,regular,21,3,2,2026-09-20,https://thcsanphuq2.hcm.edu.vn/thuc-don-ban-tru/thuc-don-ban-tru-tuan-03-nh26-27/ct/99886/760317,
thcsbinhanq2,THCS Bình An,thcs,phuongankhanh,stale,1,0,0,2020-03-25,https://thcsbinhanq2.hcm.edu.vn/cong-nghe-giao-duc-cong-dan/cong-nghe-6-bai-21-to-chuc-bua-an-hop-ly-trong-gia-dinh/ct/86752/432819,
mn19thang5binhtan,Mầm non 19 tháng 5,mn,phuonganlac,none,0,0,0,,,
mn20-10,MN 20-10,mn,phuonganlac,none,0,0,0,,,
mndalyhuong,Mầm non Dạ Lý Hương,mn,phuonganlac,active,6,1,1,2026-09-18,https://mndalyhuong.hcm.edu.vn/hinh-anh-mon-an-cua-tre/thuc-don-trong-tuan-tu-ngay-2192026-den-ngay-2592026/ct/101681/887892,
mndalyhuong-phanhieu,Mầm non Dạ Lý Hương Phân Hiệu,mn,phuonganlac,none,0,0,0,,,
mnhoadao,Mầm non Hoa Đào,mn,phuonganlac,stale,16,0,0,2026-05-12,https://mnhoadao.hcm.edu.vn/dinh-duong-hang-ngay/thuc-don-tu-ngay-1152026-den-ngay-1552026/ct/20626/866162,
mnhoahongbinhtan,Mầm non Hoa Hồng,mn,phuonganlac,stale,18,0,0,2024-12-12,https://mnhoahongbinhtan.hcm.edu.vn/cong-tac-cham-soc-nuoi-duong/thuc-don-cho-tre-tu-ngay-16122024-den-ngay-20122024/ct/85422/711536,
mnhoanganhbinhtan,Mầm non Hoàng Anh,mn,phuonganlac,active,9,2,1,2026-09-24,https://mnhoanganhbinhtan.hcm.edu.vn/thuc-don-trong-tuan/thuc-don-tuan-4-thang-92026/ct/109958/889113,
mnhuongsenbinhtan,Mầm non Hương Sen,mn,phuonganlac,stale,1,0,0,2026-08-03,https://mnhuongsenbinhtan.hcm.edu.vn/tin-tuc-su-kien/thuc-hien-chuyen-de-xay-dung-hinh-thuc-to-chuc-bua-an-cho-tre-thong-qua-moi-tru/ct/25476/882271,
thietmoclanbta,Mầm non Thiết Mộc Lan,mn,phuonganlac,stale,18,0,0,2026-03-30,https://thietmoclanbta.hcm.edu.vn/thang-04-26/thuc-don-tu-ngay-30032026-den-ngay-29042026/ct/109909/853128,
thanlac1,Tiểu Học An Lạc 1,th,phuonganlac,none,0,0,0,,,
thanlac2,Tiểu Học An Lạc 2,th,phuonganlac,none,0,0,0,,,
thanlac3,Tiểu Học An Lạc 3,th,phuonganlac,stale,15,0,0,2026-04-22,https://thanlac3.hcm.edu.vn/chuyen-de-dinh-duong/thuc-don-thang-5-2026/ct/136385/1384765,
thbinhtri2,Tiểu Học Bình Trị 2,th,phuonganlac,active,16,2,2,2026-09-10,https://thbinhtri2.hcm.edu.vn/thuc-don-ban-tru/cong-khai-nguon-goc-thuc-pham-nam-hoc-2026-2027/ct/129794/1409108,
thbuihuunghia,Tiểu học Bùi Hữu Nghĩa,th,phuonganlac,stale,3,0,0,2024-12-03,http://thbuihuunghia.hcm.edu.vn/ky-nang-song-suc-khoe/thuc-don-bua-an-hoc-sinh-thang-12/ct/129151/1259461,
thdinhcongtrangbt,Tiểu học Đinh Công Tráng,th,phuonganlac,none,0,0,0,,,
thlecongphep,Tiểu Học Lê Công Phép,th,phuonganlac,regular,7,7,2,2026-09-24,http://thlecongphep.hcm.edu.vn/thuc-don-ban-tru-nam-hoc-2026-2027/thuc-don-ngay-24092026/ct/148068/1412292,
thluongthevinhbt,Tiểu học Lương Thế Vinh,th,phuonganlac,stale,7,0,0,2025-11-17,https://thluongthevinhbt.hcm.edu.vn/thuc-don/thuc-don-tuan-112025/ct/132427/1339519,
thcsanlac,THCS An Lạc,thcs,phuonganlac,regular,36,2,2,2026-09-20,https://thcsanlac.hcm.edu.vn/nam-hoc-2026-2027/thuc-don-ban-tru-tuan-4-thang-9-nam-2026/ct/111291/760290,
thcsbinhtan,THCS Bình Tân,thcs,phuonganlac,regular,15,3,3,2026-09-23,http://thcsbinhtan.hcm.edu.vn/thuc-don-ban-tru/thuc-don-ban-tru-tuan-4-thang-92026/ct/99191/760828,
thcsbinhtridongbbt,THCS Bình Trị Đông B,thcs,phuonganlac,none,0,0,0,,,
thcsletanbe,THCS Lê Tấn Bê,thcs,phuonganlac,none,0,0,0,,,
hoatramy3q8,TRƯỜNG MẦM NON HOA TRÀ MY 3.,mn,phuongannhon,none,0,0,0,,,
mnannhon,Mầm non An Nhơn,mn,phuongannhon,stale,20,0,0,2026-04-20,https://mnannhon.hcm.edu.vn/thuc-don/thuc-don-tuan/ct/89652/859203,
mnbethongminhq8,Mầm non Bé Thông Minh,mn,phuongannhon,none,0,0,0,,,
mnbinhthuanq8,Mầm non Bình Thuận,mn,phuongannhon,none,0,0,0,,,
mnhoamigovap,Mầm non Họa Mi,mn,phuongannhon,regular,6,2,2,2026-09-18,https://mnhoamigovap.hcm.edu.vn/cham-soc-nuoi-duong/thuc-don-cua-be-tu-ngay-2192026-den-ngay-2592026/ct/79853/887939,
mnhoaphuongdogovap,Mầm non Hoa Phượng Đỏ,mn,phuongannhon,stale,24,0,0,2026-05-01,http://mnhoaphuongdogovap.hcm.edu.vn/thuc-don-thang/thuc-don-thang-5/ct/72141/882570,
thhoangvanthugovap,Tiểu học Hoàng Văn Thụ,th,phuongannhon,none,0,0,0,,,
thnguyenvietxuangovap,Tiểu Học Nguyễn Viết Xuân,th,phuongannhon,stale,15,0,0,2026-04-29,https://thnguyenvietxuangovap.hcm.edu.vn/thuc-don/thuc-don-thang-05-tuan-34-35-36-37-tu-04052026-den-28052026/ct/129149/1386238,
thcsannhon,THCS An Nhơn,thcs,phuongannhon,regular,7,7,2,2026-09-23,https://thcsannhon.hcm.edu.vn/y-te-hoc-duong/bua-an-thuc-te-ngay-23092026/ct/100355/760953,
thcsnguyenvannghi,THCS Nguyễn Văn Nghi,thcs,phuongannhon,regular,24,10,3,2026-09-24,http://thcsnguyenvannghi.hcm.edu.vn/hoat-dong/bua-an-thuc-te-ngay-24092026/ct/91304/760973,
thanphu2-anphu,Trường Tiểu học An Phú 2,th,phuonganphu,regular,15,15,3,2026-09-24,https://thanphu2-anphu.hcm.edu.vn/ban-tru/hinh-anh-bua-an-ban-tru-ngay-2492026/ct/142652/1412324,
thanphu3,Trường Tiểu học An Phú 3,th,phuonganphu,active,1,1,1,2026-09-24,http://thanphu3.hcm.edu.vn/ban-tru/thuc-don-ban-tru-ngay-2492026/ct/148119/1412373,
thlethitrung,Trường Tiểu học Lê Thị Trung,th,phuonganphu,none,0,0,0,,,
thtuyan-anphu,Trường Tiểu học Tuy An,th,phuonganphu,active,1,1,1,2026-09-15,https://thtuyan-anphu.hcm.edu.vn/tin-tuc-su-kien/bua-an-ban-tru-nha-truong-rang-ro-nu-cuoi-be-yeu/ct/142485/1409932,
tieuhocanphu,Trường Tiểu học An Phú,th,phuonganphu,none,0,0,0,,,
mgbongsen,Trường Mầm non Bông Sen,mn,phuonganphudong,regular,16,3,3,2026-09-21,https://mgbongsen.hcm.edu.vn/thuc-don-tuan/thuc-don-tuan-4-thang-9-tu-ngay-2192026-den-ngay-2592026/ct/76732/888573,
mn1thang4q12,Mầm non 1 tháng 4,mn,phuonganphudong,stale,15,0,0,2026-05-30,https://mn1thang4q12.hcm.edu.vn/suc-khoe-dinh-duong/thuc-don-tuan-4-thang-5-nam-2026/ct/92060/871991,
mnbonghongq12,Mầm non Bông Hồng,mn,phuonganphudong,stale,23,0,0,2026-05-25,https://mnbonghongq12.hcm.edu.vn/suc-khoe-dinh-duong/thuc-don-tuan-4-thang-52026/ct/29101/879115,
mnsonca8q12,Mầm non Sơn Ca 8,mn,phuonganphudong,stale,15,0,0,2026-04-25,https://mnsonca8q12.hcm.edu.vn/thuc-don-cua-be/thuc-don-trong-tuan-cua-be-tuan-5-thang-42026/ct/92135/863236,
thhahuygiap,Tiểu Học Hà Huy Giáp,th,phuonganphudong,none,0,0,0,,,
thphamvanchieu,Tiểu Học Phạm Văn Chiêu,th,phuonganphudong,regular,16,4,3,2026-09-21,https://thphamvanchieu.hcm.edu.vn/thuc-don-ban-tru/thuc-don-ban-tru-tuan-3-nam-hoc-2026-2027/ct/110267/1411074,
