code,name,level,ward
thcslehongphong-condao,Trường THCS Lê Hồng Phong,thcs,dackhucondao
mn8q5,Mầm non 8,mn,phuongandong
mn9q5,Mầm non 9,mn,phuongandong
mnhoangyenq5,Mầm non Hoàng Yến,mn,phuongandong
mnsoncaq5,Mầm non Sơn Ca,mn,phuongandong
thchuongduongq5,Tiểu Học Chương Dương,th,phuongandong
thhuynhkienhoa,Tiểu Học Huỳnh Kiến Hoa,th,phuongandong
thhuynhmandat,Tiểu Học Huỳnh Mẫn Đạt,th,phuongandong
thphamhongthai,Tiểu Học Phạm Hồng Thái,th,phuongandong
thtranquoctoanq5,Tiểu Học Trần Quốc Toản,th,phuongandong
thcskimdong,THCS Kim Đồng,thcs,phuongandong
mnhoangyengovap,Mầm non Hoàng Yến,mn,phuonganhoidong
mnhoasengovap,Mầm non Hoa Sen,mn,phuonganhoidong
mnmaivanggovap,MN Mai Vàng,mn,phuonganhoidong
mnngoclangovap,Mầm non Ngọc Lan,mn,phuonganhoidong
mnsenhonggovap,Mầm non Sen Hồng,mn,phuonganhoidong
thleductho,TH Lê Đức Thọ,th,phuonganhoidong
thlehoan,Tiểu Học Lê Hoàn,th,phuonganhoidong
thlethihonggamgovap,Tiểu Học Lê Thị Hồng Gấm,th,phuonganhoidong
thlevanthogv,TH Lê Văn Thọ,th,phuonganhoidong
thphanchutrinhgovap,Trường Tiểu học Phan Chu Trinh,th,phuonganhoidong
thvothisaugovap,Tiểu Học Võ Thị Sáu,th,phuonganhoidong
thcslytutrong,THCS Lý Tự Trọng,thcs,phuonganhoidong
thcsnguyentraigovap,THCS Nguyễn Trãi,thcs,phuonganhoidong
thcsphantayho,THCS Phan Tây Hồ,thcs,phuonganhoidong
mnhuongduonggovap,Mầm non Hướng Dương,mn,phuonganhoitay
mnsocnaugovap,Mầm non Sóc Nâu,mn,phuonganhoitay
thdangthuytram-anhoitay,Tiểu học Đặng Thùy Trâm,th,phuonganhoitay
thlamsongovap,Tiểu Học Lam Sơn,th,phuonganhoitay
thlequydongovap,Tiểu Học Lê Quý Đôn,th,phuonganhoitay
thcshuynhvannghegovap,THCS Huỳnh Văn Nghệ,thcs,phuonganhoitay
thcstanson,THCS Tân Sơn,thcs,phuonganhoitay
mn19thang5q2,Mầm non 19-5 Quận 2,mn,phuongankhanh
